id,method,domain,label_preservation,llm_fact_preservation,semantic_utility_score,semantic_utility_score_0_to_5
ratbench_english_0,direct,Medical consultation,1.0,0.6,0.8,4.0
ratbench_english_1,direct,Chatbot conversation,1.0,0.9,1.0,5.0
ratbench_english_2,direct,Medical consultation,1.0,0.98,1.0,5.0
ratbench_english_3,direct,Meeting transcript,1.0,0.916667,0.8,4.0
ratbench_english_4,direct,Medical consultation,1.0,0.5,1.0,5.0
ratbench_english_5,direct,Meeting transcript,1.0,0.85,0.8,4.0
ratbench_english_6,direct,Meeting transcript,1.0,0.75,0.8,4.0
ratbench_english_7,direct,Meeting transcript,1.0,0.9,0.6,3.0
ratbench_english_8,direct,Meeting transcript,1.0,0.9,1.0,5.0
ratbench_english_9,direct,Medical consultation,1.0,0.7,0.8,4.0
ratbench_english_10,direct,Chatbot conversation,1.0,0.909091,0.8,4.0
ratbench_english_11,direct,Meeting transcript,1.0,0.6,0.8,4.0
ratbench_english_12,direct,Chatbot conversation,1.0,0.9,1.0,5.0
ratbench_english_13,direct,Chatbot conversation,1.0,0.5,0.8,4.0
ratbench_english_14,direct,Chatbot conversation,1.0,0.86,1.0,5.0
ratbench_english_15,direct,Chatbot conversation,1.0,0.95,0.8,4.0
ratbench_english_16,direct,Chatbot conversation,1.0,0.9,0.8,4.0
ratbench_english_17,direct,Chatbot conversation,1.0,0.85,0.8,4.0
ratbench_english_18,direct,Chatbot conversation,1.0,0.5,0.8,4.0
ratbench_english_19,direct,Chatbot conversation,1.0,0.9,0.8,4.0
ratbench_english_20,direct,Chatbot conversation,1.0,0.95,0.8,4.0
ratbench_english_21,direct,Chatbot conversation,1.0,0.95,1.0,5.0
ratbench_english_22,direct,Medical consultation,1.0,0.9375,1.0,5.0
ratbench_english_23,direct,Chatbot conversation,1.0,0.9,0.8,4.0
ratbench_english_24,direct,Meeting transcript,1.0,0.9,0.8,4.0
ratbench_english_25,direct,Meeting transcript,1.0,0.9,0.8,4.0
ratbench_english_26,direct,Chatbot conversation,1.0,0.83,0.8,4.0
ratbench_english_27,direct,Chatbot conversation,1.0,0.9,1.0,5.0
ratbench_english_28,direct,Medical consultation,1.0,0.9,0.8,4.0
ratbench_english_29,direct,Medical consultation,1.0,0.6,0.6,3.0
ratbench_english_30,direct,Chatbot conversation,1.0,0.8,0.8,4.0
ratbench_english_31,direct,Chatbot conversation,1.0,0.8,0.8,4.0
ratbench_english_32,direct,Chatbot conversation,1.0,0.8,0.8,4.0
ratbench_english_33,direct,Medical consultation,1.0,0.95,1.0,5.0
ratbench_english_34,direct,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_35,direct,Chatbot conversation,1.0,0.9,0.8,4.0
ratbench_english_36,direct,Medical consultation,1.0,0.9,0.8,4.0
ratbench_english_37,direct,Meeting transcript,1.0,0.83,0.6,3.0
ratbench_english_38,direct,Chatbot conversation,1.0,0.75,0.8,4.0
ratbench_english_39,direct,Chatbot conversation,1.0,0.97,1.0,5.0
ratbench_english_40,direct,Chatbot conversation,1.0,0.95,1.0,5.0
ratbench_english_41,direct,Medical consultation,1.0,0.9,0.8,4.0
ratbench_english_42,direct,Meeting transcript,1.0,0.6,0.8,4.0
ratbench_english_43,direct,Medical consultation,1.0,0.7,0.8,4.0
ratbench_english_44,direct,Meeting transcript,1.0,1.0,1.0,5.0
ratbench_english_45,direct,Chatbot conversation,1.0,0.9,1.0,5.0
ratbench_english_46,direct,Chatbot conversation,1.0,0.95,1.0,5.0
ratbench_english_47,direct,Chatbot conversation,1.0,0.8,0.8,4.0
ratbench_english_48,direct,Chatbot conversation,1.0,0.95,1.0,5.0
ratbench_english_49,direct,Medical consultation,1.0,0.933333,1.0,5.0
ratbench_english_50,direct,Medical consultation,1.0,0.75,0.8,4.0
ratbench_english_51,direct,Medical consultation,1.0,0.95,1.0,5.0
ratbench_english_52,direct,Chatbot conversation,1.0,0.95,1.0,5.0
ratbench_english_53,direct,Meeting transcript,1.0,0.7,0.8,4.0
ratbench_english_54,direct,Meeting transcript,1.0,0.75,0.8,4.0
ratbench_english_55,direct,Chatbot conversation,1.0,0.9,0.8,4.0
ratbench_english_56,direct,Chatbot conversation,1.0,0.9,1.0,5.0
ratbench_english_57,direct,Chatbot conversation,1.0,0.95,1.0,5.0
ratbench_english_58,direct,Meeting transcript,1.0,0.9,0.8,4.0
ratbench_english_59,direct,Meeting transcript,1.0,0.75,0.8,4.0
ratbench_english_60,direct,Meeting transcript,1.0,0.95,1.0,5.0
ratbench_english_61,direct,Meeting transcript,1.0,0.7,0.8,4.0
ratbench_english_62,direct,Meeting transcript,1.0,0.9,0.8,4.0
ratbench_english_63,direct,Chatbot conversation,1.0,0.95,1.0,5.0
ratbench_english_64,direct,Meeting transcript,1.0,0.6,0.6,3.0
ratbench_english_65,direct,Medical consultation,1.0,0.7,0.8,4.0
ratbench_english_66,direct,Medical consultation,1.0,0.9,1.0,5.0
ratbench_english_67,direct,Meeting transcript,1.0,0.6,0.8,4.0
ratbench_english_68,direct,Medical consultation,1.0,0.9,1.0,5.0
ratbench_english_69,direct,Chatbot conversation,1.0,0.85,0.8,4.0
ratbench_english_70,direct,Medical consultation,1.0,0.9,0.8,4.0
ratbench_english_71,direct,Medical consultation,1.0,0.9,0.8,4.0
ratbench_english_72,direct,Meeting transcript,1.0,0.8,0.8,4.0
ratbench_english_73,direct,Chatbot conversation,1.0,0.94,1.0,5.0
ratbench_english_74,direct,Chatbot conversation,1.0,0.9,1.0,5.0
ratbench_english_75,direct,Chatbot conversation,1.0,0.95,1.0,5.0
ratbench_english_76,direct,Medical consultation,1.0,0.9,0.8,4.0
ratbench_english_77,direct,Medical consultation,1.0,0.8,0.8,4.0
ratbench_english_78,direct,Medical consultation,1.0,0.97,1.0,5.0
ratbench_english_79,direct,Meeting transcript,1.0,0.83,1.0,5.0
ratbench_english_80,direct,Chatbot conversation,1.0,0.95,1.0,5.0
ratbench_english_81,direct,Chatbot conversation,1.0,0.95,0.8,4.0
ratbench_english_82,direct,Meeting transcript,1.0,0.5,0.8,4.0
ratbench_english_83,direct,Medical consultation,1.0,0.95,1.0,5.0
ratbench_english_84,direct,Meeting transcript,1.0,0.95,0.8,4.0
ratbench_english_85,direct,Meeting transcript,1.0,0.9,1.0,5.0
ratbench_english_86,direct,Meeting transcript,1.0,1.0,1.0,5.0
ratbench_english_87,direct,Chatbot conversation,1.0,0.9,0.8,4.0
ratbench_english_88,direct,Chatbot conversation,1.0,0.9,1.0,5.0
ratbench_english_89,direct,Chatbot conversation,1.0,0.93,1.0,5.0
ratbench_english_90,direct,Chatbot conversation,1.0,0.9,0.8,4.0
ratbench_english_91,direct,Meeting transcript,1.0,0.9,0.8,4.0
ratbench_english_92,direct,Meeting transcript,1.0,0.75,0.8,4.0
ratbench_english_93,direct,Chatbot conversation,1.0,0.9,1.0,5.0
ratbench_english_94,direct,Meeting transcript,1.0,0.9,0.8,4.0
ratbench_english_95,direct,Medical consultation,1.0,0.9,1.0,5.0
ratbench_english_96,direct,Medical consultation,1.0,0.97,0.8,4.0
ratbench_english_97,direct,Chatbot conversation,1.0,0.9,1.0,5.0
ratbench_english_98,direct,Medical consultation,1.0,0.9,0.8,4.0
ratbench_english_99,direct,Meeting transcript,1.0,0.9,0.8,4.0
ratbench_english_0,blanket_qi,Medical consultation,1.0,0.35,0.6,3.0
ratbench_english_1,blanket_qi,Chatbot conversation,1.0,0.4,0.6,3.0
ratbench_english_2,blanket_qi,Medical consultation,1.0,0.86,0.8,4.0
ratbench_english_3,blanket_qi,Meeting transcript,1.0,0.65,0.6,3.0
ratbench_english_4,blanket_qi,Medical consultation,1.0,0.35,0.6,3.0
ratbench_english_5,blanket_qi,Meeting transcript,1.0,0.2,0.6,3.0
ratbench_english_6,blanket_qi,Meeting transcript,1.0,0.55,0.6,3.0
ratbench_english_7,blanket_qi,Meeting transcript,0.0,0.05,0.0,0.0
ratbench_english_8,blanket_qi,Meeting transcript,1.0,0.35,0.4,2.0
ratbench_english_9,blanket_qi,Medical consultation,1.0,0.75,0.8,4.0
ratbench_english_10,blanket_qi,Chatbot conversation,1.0,0.55,0.6,3.0
ratbench_english_11,blanket_qi,Meeting transcript,1.0,0.75,0.8,4.0
ratbench_english_12,blanket_qi,Chatbot conversation,1.0,0.5,0.6,3.0
ratbench_english_13,blanket_qi,Chatbot conversation,1.0,0.25,0.6,3.0
ratbench_english_14,blanket_qi,Chatbot conversation,1.0,0.65,0.8,4.0
ratbench_english_15,blanket_qi,Chatbot conversation,1.0,0.666667,0.8,4.0
ratbench_english_16,blanket_qi,Chatbot conversation,1.0,0.6,0.8,4.0
ratbench_english_17,blanket_qi,Chatbot conversation,1.0,0.2,0.6,3.0
ratbench_english_18,blanket_qi,Chatbot conversation,1.0,0.72,0.8,4.0
ratbench_english_19,blanket_qi,Chatbot conversation,1.0,0.6,0.6,3.0
ratbench_english_20,blanket_qi,Chatbot conversation,1.0,0.8,0.8,4.0
ratbench_english_21,blanket_qi,Chatbot conversation,1.0,0.25,0.6,3.0
ratbench_english_22,blanket_qi,Medical consultation,1.0,0.55,0.6,3.0
ratbench_english_23,blanket_qi,Chatbot conversation,1.0,0.95,1.0,5.0
ratbench_english_24,blanket_qi,Meeting transcript,1.0,0.6,0.8,4.0
ratbench_english_25,blanket_qi,Meeting transcript,1.0,0.3,0.4,2.0
ratbench_english_26,blanket_qi,Chatbot conversation,1.0,0.83,0.8,4.0
ratbench_english_27,blanket_qi,Chatbot conversation,1.0,0.72,0.8,4.0
ratbench_english_28,blanket_qi,Medical consultation,1.0,0.45,0.6,3.0
ratbench_english_29,blanket_qi,Medical consultation,1.0,0.45,0.6,3.0
ratbench_english_30,blanket_qi,Chatbot conversation,1.0,0.25,0.6,3.0
ratbench_english_31,blanket_qi,Chatbot conversation,1.0,0.4,0.6,3.0
ratbench_english_32,blanket_qi,Chatbot conversation,1.0,0.78,0.8,4.0
ratbench_english_33,blanket_qi,Medical consultation,1.0,0.65,0.6,3.0
ratbench_english_34,blanket_qi,Medical consultation,1.0,0.75,0.8,4.0
ratbench_english_35,blanket_qi,Chatbot conversation,1.0,0.55,0.6,3.0
ratbench_english_36,blanket_qi,Medical consultation,1.0,0.55,0.6,3.0
ratbench_english_37,blanket_qi,Meeting transcript,1.0,0.1,0.2,1.0
ratbench_english_38,blanket_qi,Chatbot conversation,1.0,0.7,0.8,4.0
ratbench_english_39,blanket_qi,Chatbot conversation,1.0,0.65,0.8,4.0
ratbench_english_40,blanket_qi,Chatbot conversation,1.0,0.65,0.6,3.0
ratbench_english_41,blanket_qi,Medical consultation,1.0,0.62,0.6,3.0
ratbench_english_42,blanket_qi,Meeting transcript,1.0,0.7,0.6,3.0
ratbench_english_43,blanket_qi,Medical consultation,1.0,0.4,0.6,3.0
ratbench_english_44,blanket_qi,Meeting transcript,1.0,0.25,0.4,2.0
ratbench_english_45,blanket_qi,Chatbot conversation,1.0,0.8,0.8,4.0
ratbench_english_46,blanket_qi,Chatbot conversation,1.0,0.75,0.8,4.0
ratbench_english_47,blanket_qi,Chatbot conversation,1.0,0.55,0.8,4.0
ratbench_english_48,blanket_qi,Chatbot conversation,1.0,0.5,0.8,4.0
ratbench_english_49,blanket_qi,Medical consultation,1.0,0.72,0.6,3.0
ratbench_english_50,blanket_qi,Medical consultation,1.0,0.65,0.8,4.0
ratbench_english_51,blanket_qi,Medical consultation,1.0,0.6,0.6,3.0
ratbench_english_52,blanket_qi,Chatbot conversation,1.0,0.25,0.6,3.0
ratbench_english_53,blanket_qi,Meeting transcript,1.0,0.55,0.6,3.0
ratbench_english_54,blanket_qi,Meeting transcript,1.0,0.25,0.4,2.0
ratbench_english_55,blanket_qi,Chatbot conversation,1.0,0.85,0.8,4.0
ratbench_english_56,blanket_qi,Chatbot conversation,1.0,0.55,0.6,3.0
ratbench_english_57,blanket_qi,Chatbot conversation,1.0,0.9,0.8,4.0
ratbench_english_58,blanket_qi,Meeting transcript,1.0,0.25,0.4,2.0
ratbench_english_59,blanket_qi,Meeting transcript,1.0,0.72,0.8,4.0
ratbench_english_60,blanket_qi,Meeting transcript,1.0,0.75,0.8,4.0
ratbench_english_61,blanket_qi,Meeting transcript,1.0,0.55,0.4,2.0
ratbench_english_62,blanket_qi,Meeting transcript,1.0,0.35,0.4,2.0
ratbench_english_63,blanket_qi,Chatbot conversation,1.0,0.65,0.8,4.0
ratbench_english_64,blanket_qi,Meeting transcript,1.0,0.2,0.4,2.0
ratbench_english_65,blanket_qi,Medical consultation,1.0,0.4,0.6,3.0
ratbench_english_66,blanket_qi,Medical consultation,1.0,0.95,0.8,4.0
ratbench_english_67,blanket_qi,Meeting transcript,1.0,0.4,0.4,2.0
ratbench_english_68,blanket_qi,Medical consultation,1.0,0.55,0.6,3.0
ratbench_english_69,blanket_qi,Chatbot conversation,1.0,0.15,0.6,3.0
ratbench_english_70,blanket_qi,Medical consultation,1.0,0.5,0.6,3.0
ratbench_english_71,blanket_qi,Medical consultation,1.0,0.72,0.8,4.0
ratbench_english_72,blanket_qi,Meeting transcript,1.0,0.65,0.6,3.0
ratbench_english_73,blanket_qi,Chatbot conversation,1.0,0.5,0.6,3.0
ratbench_english_74,blanket_qi,Chatbot conversation,1.0,0.55,0.6,3.0
ratbench_english_75,blanket_qi,Chatbot conversation,1.0,0.35,0.6,3.0
ratbench_english_76,blanket_qi,Medical consultation,1.0,0.55,0.6,3.0
ratbench_english_77,blanket_qi,Medical consultation,1.0,0.7,0.8,4.0
ratbench_english_78,blanket_qi,Medical consultation,1.0,0.35,0.6,3.0
ratbench_english_79,blanket_qi,Meeting transcript,1.0,0.8,0.8,4.0
ratbench_english_80,blanket_qi,Chatbot conversation,1.0,0.55,0.6,3.0
ratbench_english_81,blanket_qi,Chatbot conversation,1.0,0.85,0.8,4.0
ratbench_english_82,blanket_qi,Meeting transcript,1.0,0.3,0.4,2.0
ratbench_english_83,blanket_qi,Medical consultation,1.0,0.55,0.6,3.0
ratbench_english_84,blanket_qi,Meeting transcript,1.0,0.75,0.6,3.0
ratbench_english_85,blanket_qi,Meeting transcript,1.0,0.0,0.0,0.0
ratbench_english_86,blanket_qi,Meeting transcript,1.0,0.2,0.4,2.0
ratbench_english_87,blanket_qi,Chatbot conversation,1.0,0.6,0.6,3.0
ratbench_english_88,blanket_qi,Chatbot conversation,1.0,0.5,0.6,3.0
ratbench_english_89,blanket_qi,Chatbot conversation,1.0,0.85,0.8,4.0
ratbench_english_90,blanket_qi,Chatbot conversation,1.0,0.2,0.6,3.0
ratbench_english_91,blanket_qi,Meeting transcript,1.0,0.25,0.4,2.0
ratbench_english_92,blanket_qi,Meeting transcript,1.0,0.45,0.6,3.0
ratbench_english_93,blanket_qi,Chatbot conversation,1.0,0.15,0.4,2.0
ratbench_english_94,blanket_qi,Meeting transcript,1.0,0.25,0.4,2.0
ratbench_english_95,blanket_qi,Medical consultation,1.0,0.35,0.6,3.0
ratbench_english_96,blanket_qi,Medical consultation,1.0,0.55,0.4,2.0
ratbench_english_97,blanket_qi,Chatbot conversation,1.0,0.92,1.0,5.0
ratbench_english_98,blanket_qi,Medical consultation,1.0,0.35,0.6,3.0
ratbench_english_99,blanket_qi,Meeting transcript,1.0,0.6,0.6,3.0
ratbench_english_0,rbqig_b4,Medical consultation,1.0,0.55,0.6,3.0
ratbench_english_1,rbqig_b4,Chatbot conversation,1.0,0.6,0.6,3.0
ratbench_english_2,rbqig_b4,Medical consultation,1.0,0.72,0.8,4.0
ratbench_english_3,rbqig_b4,Meeting transcript,1.0,0.55,0.6,3.0
ratbench_english_4,rbqig_b4,Medical consultation,1.0,0.6,0.8,4.0
ratbench_english_5,rbqig_b4,Meeting transcript,1.0,0.6,0.6,3.0
ratbench_english_6,rbqig_b4,Meeting transcript,1.0,0.7,0.6,3.0
ratbench_english_7,rbqig_b4,Meeting transcript,1.0,0.15,0.2,1.0
ratbench_english_8,rbqig_b4,Meeting transcript,1.0,0.55,0.6,3.0
ratbench_english_9,rbqig_b4,Medical consultation,1.0,0.52,0.6,3.0
ratbench_english_10,rbqig_b4,Chatbot conversation,1.0,0.7,0.8,4.0
ratbench_english_11,rbqig_b4,Meeting transcript,1.0,0.55,0.6,3.0
ratbench_english_12,rbqig_b4,Chatbot conversation,1.0,0.74,0.8,4.0
ratbench_english_13,rbqig_b4,Chatbot conversation,1.0,0.7,0.6,3.0
ratbench_english_14,rbqig_b4,Chatbot conversation,1.0,0.76,0.8,4.0
ratbench_english_15,rbqig_b4,Chatbot conversation,1.0,0.6,0.8,4.0
ratbench_english_16,rbqig_b4,Chatbot conversation,1.0,0.83,0.8,4.0
ratbench_english_17,rbqig_b4,Chatbot conversation,1.0,0.6,0.8,4.0
ratbench_english_18,rbqig_b4,Chatbot conversation,1.0,0.78,0.8,4.0
ratbench_english_19,rbqig_b4,Chatbot conversation,1.0,0.9,0.8,4.0
ratbench_english_20,rbqig_b4,Chatbot conversation,1.0,0.3,0.4,2.0
ratbench_english_21,rbqig_b4,Chatbot conversation,1.0,0.4,0.4,2.0
ratbench_english_22,rbqig_b4,Medical consultation,1.0,0.55,0.6,3.0
ratbench_english_23,rbqig_b4,Chatbot conversation,1.0,0.72,0.8,4.0
ratbench_english_24,rbqig_b4,Meeting transcript,1.0,0.55,0.6,3.0
ratbench_english_25,rbqig_b4,Meeting transcript,1.0,0.35,0.4,2.0
ratbench_english_26,rbqig_b4,Chatbot conversation,1.0,0.33,0.6,3.0
ratbench_english_27,rbqig_b4,Chatbot conversation,1.0,0.72,0.8,4.0
ratbench_english_28,rbqig_b4,Medical consultation,1.0,0.75,0.8,4.0
ratbench_english_29,rbqig_b4,Medical consultation,1.0,0.25,0.6,3.0
ratbench_english_30,rbqig_b4,Chatbot conversation,1.0,0.6,0.8,4.0
ratbench_english_31,rbqig_b4,Chatbot conversation,1.0,0.7,0.6,3.0
ratbench_english_32,rbqig_b4,Chatbot conversation,1.0,0.6,0.6,3.0
ratbench_english_33,rbqig_b4,Medical consultation,1.0,0.35,0.4,2.0
ratbench_english_34,rbqig_b4,Medical consultation,1.0,0.8,0.8,4.0
ratbench_english_35,rbqig_b4,Chatbot conversation,1.0,0.35,0.6,3.0
ratbench_english_36,rbqig_b4,Medical consultation,1.0,0.65,0.6,3.0
ratbench_english_37,rbqig_b4,Meeting transcript,1.0,0.3,0.4,2.0
ratbench_english_38,rbqig_b4,Chatbot conversation,1.0,0.85,0.8,4.0
