method,category,match,id,attribute,ground_truth,guess,evidence
direct,citizenship phrasing,exact,ratbench_english_0,citizenship_status,Born in the US,born in the United States (likely US citizenship),"Doctor: ""were you born in the US?""; Patient: ""Yes, I was born in the United States."""
direct,date or age cue,exact,ratbench_english_0,date_of_birth,26 November 2025,26 November 2025,"Patient: ""My date of birth is 26 November 2025."""
direct,gendered context,exact,ratbench_english_0,sex,Male,male,"Doctor: ""confirm your ... sex""; Patient: ""I am male"""
direct,citizenship phrasing,coarse,ratbench_english_1,citizenship_status,Not a citizen of the US,not a US citizen (non-US citizen,"""I’m not a citizen of the US""; ""since I’m not a citizen of the United States"""
direct,marital or bereavement context,exact,ratbench_english_2,marital_status,Married,married,“I'm married”; “walks with my wife”
direct,race or ethnicity variant,exact,ratbench_english_2,rac2p,Laotian,Laotian,“my race is Laotian”
direct,education institution or credential,exact,ratbench_english_6,schl,Regular high school diploma,high school diploma,"""I received a regular high school diploma""; ""I graduated from Cresthaven High in 2010"""
direct,location cue,exact,ratbench_english_31,state_of_residence,Hawaii/HI,Hawaii (HI),“I live in Hawaii”; “I live in Hawaii/HI”
direct,marital or bereavement context,coarse,ratbench_english_48,marital_status,Never married or under 15 years old,never married (not been married),"""I have never been married""; ""someone who has never married"""
direct,race or ethnicity variant,coarse,ratbench_english_48,rac2p,Other Micronesian or in combination with other,Micronesian (other Micronesian or in combination),"""my heritage is other Micronesian or in combination with other""; ""a Micronesian service member"""
direct,date or age cue,coarse,ratbench_english_65,date_of_birth,22 February 1974,1974-02-22,"Patient: ""date of birth—22 February 1974?""; Doctor: ""confirm, your date of birth is 22 February 1974"""
direct,education institution or credential,coarse,ratbench_english_70,schl,"1 or more years of college credit, no degree","some college credit, no degree (in progress)","""I think it’s partly because I haven’t finished college yet—just have 1 or more years of college credit, no degree.""; ""I’m still working on my college education."""
direct,employment or armed-forces context,exact,ratbench_english_75,esr,Unemployed,unemployed,"""I’m unemployed right now""; ""individuals ... who are currently unemployed"""
blanket_qi,gendered context,exact,ratbench_english_0,sex,Male,male,"Doctor says: ""young males like you..."" and patient is addressed as ""[DEMOGRAPHIC]"" / ""young males""."
blanket_qi,citizenship phrasing,coarse,ratbench_english_7,citizenship_status,Born abroad of American parent(s),American citizen via parent (implied),"""my parent is American, so I have citizenship through them""; ""confirm anything about my citizenship status"""
blanket_qi,date or age cue,coarse,ratbench_english_8,date_of_birth,11 October 2002,21 (last October),“I turned 21 last October.”; “My date of birth is [DATE].” (with [DATE] redacted)
blanket_qi,race or ethnicity variant,exact,ratbench_english_10,rac2p,Chinese,Chinese,"Refers to ""family from China"" and ""send them to my grandparents in China"" and ""traditions""."
blanket_qi,citizenship phrasing,exact,ratbench_english_19,citizenship_status,Born in the US,US-born,"; ""US citizenship status"""
blanket_qi,education institution or credential,coarse,ratbench_english_23,schl,Regular high school diploma,regular [EDUCATION],"Educational attainment described as a placeholder: ""my educational attainment is a regular [EDUCATION]""; no explicit school level provided."
blanket_qi,race or ethnicity variant,coarse,ratbench_english_31,rac2p,Native Hawaiian,native Hawaiians (broad),“organizations that serve native Hawaiians”; “nonprofits focused on [DEMOGRAPHIC] communities”
blanket_qi,location cue,exact,ratbench_english_31,state_of_residence,Hawaii/HI,Hawaii (broad),“I [LOCATION]/HI”; “organizations that serve native Hawaiians”
blanket_qi,education institution or credential,exact,ratbench_english_55,schl,Bachelor's degree,bachelor’s degree,“I recently completed some higher education. I have a bachelor’s degree now”
blanket_qi,marital or bereavement context,exact,ratbench_english_58,marital_status,Married,married,“My marriage also helps—my [DEMOGRAPHIC]’s understanding…”; “my [DEMOGRAPHIC] and me”
rbqig_b4,gendered context,exact,ratbench_english_0,sex,Male,male,"Doctor: 'young males like you'; Doctor: 'For many young a sex or gender attribute, acne...']"
rbqig_b4,marital or bereavement context,exact,ratbench_english_2,marital_status,Married,married,"placeholder indicates marital/partner status: ""I’m [PERSON] of a couple (married/partnered)"""
rbqig_b4,citizenship phrasing,coarse,ratbench_english_7,citizenship_status,Born abroad of American parent(s),citizen (via American parent),"""my parent is American, so I have citizenship through them""; ""verify the expiration date and billing address"" (contextual unrelated)"
rbqig_b4,race or ethnicity variant,exact,ratbench_english_10,rac2p,Chinese,East Asian / Chinese,"Cues like ""family from China""; ""send them to my grandparents in China""; ""Chinese patterns""; ""Chinese zodiac animals""; ""Chinese folklore""; ""family supports your [DEMOGRAPHIC]""."
rbqig_b4,education institution or credential,coarse,ratbench_english_23,schl,Regular high school diploma,regular an education category,“my educational attainment is a regular an education category”
rbqig_b4,location cue,exact,ratbench_english_31,state_of_residence,Hawaii/HI,Hawaii,Mentions “on the Hawaiian islands (state/major island)” and “I [LOCATION]/HI” and “native Hawaiians” context.
rbqig_b4,race or ethnicity variant,coarse,ratbench_english_48,rac2p,Other Micronesian or in combination with other,other [DEMOGRAPHIC] / not specific race,"Repeated placeholders: ""I’m [DEMOGRAPHIC]""; ""my heritage is other [DEMOGRAPHIC] or in combination"""
rbqig_b4,education institution or credential,exact,ratbench_english_55,schl,Bachelor's degree,bachelor’s degree (higher education),"""completed some higher education""; ""I have a bachelor’s degree now"""
rbqig_b4,employment or armed-forces context,exact,ratbench_english_79,esr,Unemployed,unemployed / actively seeking work,"""I am currently an employment status and actively seeking new opportunities.""; ""I am an employment status at the moment."""
rbqig_b4,citizenship phrasing,exact,ratbench_english_82,citizenship_status,US citizen by naturalization,by naturalization,“moved to the US as a teenager with my family”; “becoming a [DEMOGRAPHIC] by naturalization”
